sep=,
Result 3|time [s] Case 1,Result 3|weaDat.weaBus.TDryBul Case 1,Result 3|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1
755308.8,273.15,278.4587155215475,755308.8,273.15,274.90000593963646
756000,273.15,278.44293078753145,756000,273.15,274.8954431266433
756000,273.15,278.44293078753145,756000,273.15,274.8954431266433
757987.2000000001,273.15,278.62283270388815,757987.2000000001,273.15,275.09706008825805
760665.6,273.40469387093395,278.6165436692265,760665.6,273.40469387093395,275.1367217045512
763344,274.23506879999996,278.6629475601012,763344,274.23506879999996,275.27030232957264
766022.4,273.8761536768002,278.6461830173568,766022.4,273.8761536768002,275.2826291009411
768700.8,273.43319999999983,278.614117129403,768700.8,273.43319999999983,275.2695764154744
771379.2000000001,272.9868000000001,278.57508934599076,771379.2000000001,272.9868000000001,275.2462677260539
774057.6,272.5403248383997,278.5295623273855,774057.6,272.5403248383997,275.2139774631307
776736,272.0963104,278.47699155460214,776736,272.0963104,275.1713408704324
777600,272.04999999999995,278.46249134604676,777600,272.04999999999995,275.1628021240631
777600,272.04999999999995,278.46249134604676,777600,272.04999999999995,275.1628021240631
779414.4,272.04999999999995,278.4402372221333,779414.4,272.04999999999995,275.1599401186501
782092.8,272.04999999999995,278.40972287151897,782092.8,272.04999999999995,275.1590237911083
784771.2000000001,272.04999999999995,278.379708234502,784771.2000000001,272.04999999999995,275.15818193743127
787449.6,272.38585152000024,278.36563232021274,787449.6,272.38585152000024,275.1859196421977
790128,272.8349140363636,278.3693806659618,790128,272.8349140363636,275.2417271438335
792806.4,273.25953229653317,278.37919454761607,792806.4,273.25953229653317,275.3046419763245
795484.8,273.17604875093315,278.37136262842944,795484.8,273.17604875093315,275.3309954776181
798163.2000000001,271.93661204114323,278.29450968881577,798163.2000000001,271.93661204114323,275.2320075764004
800841.6,270.8841313939871,278.1939850854953,800841.6,270.8841313939871,275.10028346370103
803520,270.2107304347826,278.12343044505957,803520,270.2107304347826,275.0137041989202
806198.4,270.29269910149526,278.24321464195623,806198.4,270.29269910149526,275.140056422625
806400,270.34999999999997,278.2694478728015,806400,270.34999999999997,275.1681535271533
806400,270.34999999999997,278.2694478728015,806400,270.34999999999997,275.1681535271533
808876.8,271.56802639360035,278.5113601263549,808876.8,271.56802639360035,275.469876082729
811555.2000000001,272.52519999999976,279.14033139434383,811555.2000000001,272.52519999999976,276.1422196661478
814233.6,273.34360000000044,279.856259339094,814233.6,273.34360000000044,276.8849388923009
816912,274.162,280.60642630261304,816912,274.162,277.65955546552226
819590.4,274.6908195071998,281.32078901221894,819590.4,274.6908195071998,278.38838060859257
822268.8,275.07995706880007,281.9796307385857,822268.8,275.07995706880007,279.05156791798015
824947.2000000001,275.3604216990476,282.61342838697425,824947.2000000001,275.3604216990476,279.6863845536076
827625.6,274.8901966933331,283.1314300334683,827625.6,274.8901966933331,280.1708183750859
830304,274.90200457142856,283.54217006923164,830304,274.90200457142856,280.5639379440191
832982.4,274.56952640000037,283.7850307233573,832982.4,274.56952640000037,280.7877573513475
835660.8,273.5323999999996,283.78231990918925,835660.8,273.5323999999996,280.7375327101955
838339.2000000001,272.26760000000036,283.5750917170959,838339.2000000001,272.26760000000036,280.4720424545058
841017.6,271.0027999999993,283.33917901132634,841017.6,271.0027999999993,280.17386444665146
842400,270.34999999999997,283.213224331201,842400,270.34999999999997,280.0140039118388
842400,270.34999999999997,283.213224331201,842400,270.34999999999997,280.0140039118388
843696,269.7454304,283.2959332283179,843696,269.7454304,280.0555291981322
846374.4,268.61929776280743,283.0944640863556,846374.4,268.61929776280743,279.78227282842
849052.8,268.2392552533332,282.9078638726352,849052.8,268.2392552533332,279.5560836635577
851731.2000000001,267.46361201852653,282.70815198498997,851731.2000000001,267.46361201852653,279.3071428233766
854409.6,267.452890342401,282.51582354970975,854409.6,267.452890342401,279.0789484387511
857088,268.702,282.44132539601577,857088,268.702,279.0598716340035
859766.4,268.25560000000024,282.273990148366,859766.4,268.25560000000024,278.8640558088812
862444.8,267.80919999999986,282.0976699919157,862444.8,267.80919999999986,278.6543749103991
864000,267.54999999999995,281.99332974004506,864000,267.54999999999995,278.5304425229437
864000,267.54999999999995,281.99332974004506,864000,267.54999999999995,278.5304425229437
865123.2000000001,267.66359295999973,281.9259445015641,865123.2000000001,267.66359295999973,278.4564518016112
867801.6,268.81314362880045,281.83856326072896,867801.6,268.81314362880045,278.4112914371093
870480,269.6436,281.7577688906678,870480,269.6436,278.3675544648848
873158.4,270.2153622690907,281.67809121657245,873158.4,270.2153622690907,278.3187857159521
875836.8,270.3979458210909,281.5826063163301,875836.8,270.3979458210909,278.23688199992586
878515.2000000001,270.341270912,281.4770325529998,878515.2000000001,270.341270912,278.1341960799438
881193.6,269.9410779112725,281.3510798517538,881193.6,269.9410779112725,277.9942834870928
883872,269.8527229090909,281.23186891067377,883872,269.8527229090909,277.86968699346795
