sep=,
Result 3|time [s] Case 1,Result 3|weaDat.weaBus.TDryBul Case 1,Result 3|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1
2402524.8000000003,265.34999999999997,272.80200304397096,2402524.8000000003,265.34999999999997,268.49373169635584,2257891.2,253.14999999999998,293.1501419872644
2405203.2,265.34999999999997,272.75511353420944,2405203.2,265.34999999999997,268.49226021333305,2260569.6,253.14999999999998,293.15009638474885
2407881.6,265.34999999999997,272.70886129727234,2407881.6,265.34999999999997,268.49071890623804,2263248,253.14999999999998,293.1500655051614
2410560,265.02599999999995,272.6492619182663,2410560,265.02599999999995,268.46315490605195,2265926.4,252.72443425280065,293.14811645443666
2413238.4,264.84999999999997,272.58324938428,2413238.4,264.84999999999997,268.4264282473736,2268604.8000000003,252.04999999999998,293.1503080845828
2415916.8000000003,264.84999999999997,272.5317426363776,2415916.8000000003,264.84999999999997,268.41540067380333,2271283.2,252.04999999999998,293.15193174989247
2418595.2,264.84999999999997,272.48118608547435,2418595.2,264.84999999999997,268.4048817038437,2273961.6,252.04999999999998,293.1555712058785
2419200,264.84999999999997,272.4698790795728,2419200,264.84999999999997,268.40253796822765,2275200,252.04999999999998,293.1567613840059
2419200,264.84999999999997,272.4698790795728,2419200,264.84999999999997,268.40253796822765,2275200,252.04999999999998,293.1567613840059
2421273.6,265.0798302836366,272.44085346689786,2421273.6,265.0798302836366,268.41211690928486,2276640,252.2788,293.15873757748733
2423952,265.5757082181818,272.4245302141053,2423952,265.5757082181818,268.45920152983336,2279318.4,253.4221907583991,293.1586275928256
2426630.4,265.95,272.41472172619063,2426630.4,265.95,268.51303708644355,2281996.8000000003,255.16426318720036,293.1570822906775
2429308.8000000003,265.95,272.3840448491929,2429308.8000000003,265.95,268.5255497929864,2284675.2,256.12514799999974,293.1542562475495
2431987.2,265.95,272.3529142264179,2431987.2,265.95,268.5360400556994,2287353.6,256.6846916800002,293.1520760459482
2434665.6,265.95,272.32220766185947,2434665.6,265.95,268.5463007837974,2290032,257.156392,293.15125052021165
2437344,265.95284799999996,272.2920343524004,2437344,265.95284799999996,268.5563750365948,2291136.264635615,257.52340465354786,293.15187728034533
